File_name,Product_name,URL,Category,SubCategory,Website
PRODUCT_Orient Electric I Tome 1200mm BLDC 5 star 26W Ceiling Fan(Black Brown White Topaz Gold)-Amazon_Orient,PRODUCT_Orient Electric 1200 mm I Tome Remote BLDC BEE 5-star rated remote Fan Wooden finish -Amazon_Orient,https://www.amazon.in/dp/B0B637TBWM,Fans,Ceiling,Amazon
PRODUCT_Orient Electric I Tome 1200mm BLDC 5 star 26W Ceiling Fan(Black Brown White Topaz Gold)-Amazon_Orient,PRODUCT_Orient Electric 1200 mm I Tome Remote BLDC BEE 5-star rated Ceiling Fan Black -Amazon_Orient,https://www.amazon.in/dp/B0C379KBFH,Fans,Ceiling,Amazon
PRODUCT_Orient Electric I Tome 1200mm BLDC 5 star 26W Ceiling Fan(Black Brown White Topaz Gold)-Amazon_Orient,PRODUCT_Orient Electric 1200 mm I Tome Remote BLDC BEE 5-star rated Ceiling Fan Topaz Gold-Amazon_Orient,https://www.amazon.in/dp/B09BJG5K8J,Fans,Ceiling,Amazon
PRODUCT_Orient Electric Laurel 1200 MM BEE Star Rated Ceiling Fan (Bronze Desert Brown Topaz Gold Chrome)-Amazon_Orient,PRODUCT_Orient Electric Laurel 1200 MM Ceiling Fan (Metallic Bronze)-Amazon_Orient,https://www.amazon.in/dp/B0BMLHJC8N,Fans,Ceiling,Amazon
PRODUCT_Orient Electric Laurel 1200 MM BEE Star Rated Ceiling Fan (Bronze Desert Brown Topaz Gold Chrome)-Amazon_Orient,PRODUCT_Orient Electric Laurel 1200 MM Ceiling Fan (Topaz Gold )-Amazon_Orient,https://www.amazon.in/dp/B0BMLGKVBG,Fans,Ceiling,Amazon
PRODUCT_Orient Electric Laurel 1200 MM BEE Star Rated Ceiling Fan (Bronze Desert Brown Topaz Gold Chrome)-Amazon_Orient,PRODUCT_Orient Electric Laurel 1200 MM Ceiling Fan (White Chrome )-Amazon_Orient,https://www.amazon.in/dp/B0BMLL6RYV,Fans,Ceiling,Amazon
PRODUCT_Orient Electric Laurel 1200 MM BEE Star Rated Ceiling Fan (Bronze Desert Brown Topaz Gold Chrome)-Amazon_Orient,PRODUCT_Orient Electric Laurel 1200 MM Ceiling Fan (Desert Brown)-Amazon_Orient,https://www.amazon.in/dp/B0BMLLRF6R,Fans,Ceiling,Amazon
PRODUCT_Orient Electric Oscillating Pedestal Fans Stand 82 400mm (Red Sky Blue)-Amazon_Orient,PRODUCT_Orient Electric Stand 82 400 MM (Red)-Amazon_Orient,https://www.amazon.in/dp/B0C7ZFKM1R,Fans,Pedestal,Amazon
PRODUCT_Orient Electric Oscillating Pedestal Fans Stand 82 400mm (Red Sky Blue)-Amazon_Orient,PRODUCT_Orient Electric Stand 82 400 MM (Sky Blue)-Amazon_Orient,https://www.amazon.in/dp/B01DLTW3LK,Fans,Pedestal,Amazon
PRODUCT_Orient Electric Pedestal Fan Tornado 450mm(Black Chrome)-Amazon_Orient,PRODUCT_Orient Electric Tornado Pedestal Fan 450 mm(Black)-Amazon_Orient,https://www.amazon.in/dp/B06Y16WKL4,Fans,Pedestal,Amazon
PRODUCT_Orient Electric Pedestal Fan Tornado 450mm(Black Chrome)-Amazon_Orient,PRODUCT_Orient Electric Tornado Pedestal Fan 450 mm(Chrome)-Amazon_Orient,https://www.amazon.in/dp/B0BD8RTB7M,Fans,Pedestal,Amazon
PRODUCT_Orient Electric Prime Apex BEE Star Rated Ceiling Fan 1200mm(Smoke Brown Brown Blue White)-Amazon_Orient,PRODUCT_Orient Electric Apex-FX Ceiling Fan 1200mm (BROWN)-Amazon_Orient,https://www.amazon.in/dp/B0BMVLRSN3,Fans,Ceiling,Amazon
PRODUCT_Orient Electric Prime Apex BEE Star Rated Ceiling Fan 1200mm(Smoke Brown Brown Blue White)-Amazon_Orient,PRODUCT_Orient Electric Apex-FX Ceiling Fan 1200mm(WHITE)-Amazon_Orient,https://www.amazon.in/dp/B0BMVHSWYQ,Fans,Ceiling,Amazon
PRODUCT_Orient Electric Prime Apex BEE Star Rated Ceiling Fan 1200mm(Smoke Brown Brown Blue White)-Amazon_Orient,PRODUCT_Orient Electric Apex-FX Ceiling Fan 1200mm(BLUE)-Amazon_Orient,https://www.amazon.in/dp/B0BMVG2CJK,Fans,Ceiling,Amazon
PRODUCT_Orient Electric Prime Apex BEE Star Rated Ceiling Fan 1200mm(Smoke Brown Brown Blue White)-Amazon_Orient,PRODUCT_Orient Electric Apex-FX Ceiling Fan 1200mm(SMOKE BROWN)-Amazon_Orient,https://www.amazon.in/dp/B0BMVLP6B1,Fans,Ceiling,Amazon
PRODUCT_Orient Electric Prime Apex BEE Star Rated Ceiling Fan 1200mm(Smoke Brown Brown Blue White)-Amazon_Orient,PRODUCT_Orient Electric Apex Prime 1200mm BEE Star Ceiling Fan (White)-Amazon_Orient,https://www.amazon.in/dp/B0BMVH2SXX,Fans,Ceiling,Amazon
PRODUCT_Orient Electric Prime Apex BEE Star Rated Ceiling Fan 1200mm(Smoke Brown Brown Blue White)-Amazon_Orient,PRODUCT_Orient Electric Apex Prime 1200mm BEE Star Ceiling Fan (Brown)-Amazon_Orient,https://www.amazon.in/dp/B0BMVJQZ7G,Fans,Ceiling,Amazon
PRODUCT_Orient Electric Smart Air 100 mm Ultra High Speed 9 Blade Exhaust Fan (White)-Flipkart_Orient,PRODUCT_Orient Electric Smart Air 100 mm Ultra High Speed 9 Blade Exhaust Fan (White)-Flipkart_Orient,https://www.flipkart.com/product/p/itm?pid=FANGGXY4HAX5NZJG,Fans,Exhaust,Flipkart
PRODUCT_Orient Electric Smart Air 150 Exhaust Fan Superior Aesthetic Appeal White-Amazon_Orient,"PRODUCT_Orient Electric Smart Air 150 Exhaust Fan for Kitchen, Bathroom, Cabins  White-Amazon_Orient",https://www.amazon.in/dp/B077BZQWZ2,Fans,Exhaust,Amazon
PRODUCT_Orient Electric Smart Air 150 mm 5 Blade Exhaust Fan White-Flipkart_Orient,PRODUCT_Orient Electric Smart Air 150 mm 5 Blade Exhaust Fan White-Flipkart_Orient,https://www.flipkart.com/product/p/itm?pid=FANF22XGAFZHVBDH,Fans,Exhaust,Flipkart
PRODUCT_Orient Electric Smart air 150 mm Ultra High Speed 9 Blade Exhaust Fan (White)-Flipkart_Orient,PRODUCT_Orient Electric smart air 150 mm Ultra High Speed 9 Blade Exhaust Fan (White)-Flipkart_Orient,https://www.flipkart.com/product/p/itm?pid=FANGGXY38X8K3Z2F,Fans,Exhaust,Flipkart
PRODUCT_Orient Electric Smart Air Neo 100 mm Ultra High Speed 9 Blade Exhaust Fan(White)-Flipkart_Orient,PRODUCT_Orient Electric Smart Air Neo 100 mm Ultra High Speed 9 Blade Exhaust Fan(White)-Flipkart_Orient,https://www.flipkart.com/product/p/itm?pid=FANGGXY4ZR3XHAUZ,Fans,Exhaust,Flipkart
PRODUCT_Orient Electric Smart Air Neo Ventilator Fan 150 mm 100 mm  (Glossy White) -Amazon_Orient,PRODUCT_Orient Electric 100 MM Smart Air Neo Ventilator Fan (Glossy White) -Amazon_Orient,https://www.amazon.in/dp/B0BHSN57WV,Fans,Exhaust,Amazon
PRODUCT_Orient Electric Smart Air Neo Ventilator Fan 150 mm 100 mm  (Glossy White) -Amazon_Orient,PRODUCT_Orient Electric 150 MM Smart Air Neo Ventilator Fan (Glossy White) -Amazon_Orient,https://www.amazon.in/dp/B0BHSQB92J,Fans,Exhaust,Amazon
PRODUCT_Orient Electric STAND 31 400 mm Anti Dust 3 Blade Pedestal Fan CRYSTAL White-Flipkart_Orient,PRODUCT_Orient Electric STAND 31 400 mm Anti Dust 3 Blade Pedestal Fan CRYSTAL White-Flipkart_Orient,https://www.flipkart.com/product/p/itm?pid=FANEFU53DHF3HZ9C,Fans,Pedestal,Flipkart
PRODUCT_Orient Electric Stand 32 Trendz Pedestal Fan 1330 RPM CT Technology Grey(Electric Blue Slate Grey)-Amazon_Orient,PRODUCT_Orient Electric Stand 32 Trendz Pedestal Fan (Electric Blue)-Amazon_Orient,https://www.amazon.in/dp/B08FS6XHWY,Fans,Pedestal,Amazon
PRODUCT_Orient Electric Stand 32 Trendz Pedestal Fan 1330 RPM CT Technology Grey(Electric Blue Slate Grey)-Amazon_Orient,PRODUCT_Orient Electric Stand 32 Trendz Pedestal Fan (Slate Grey)-Amazon_Orient,https://www.amazon.in/dp/B07QZGBXY1,Fans,Pedestal,Amazon
PRODUCT_Orient Electric Stand 82 400 mm 3 Blade Pedestal Fan Crystal white-Flipkart_Orient,PRODUCT_Orient Electric Stand 82 400 mm 3 Blade Pedestal Fan Crystal white-Flipkart_Orient,https://www.flipkart.com/product/p/itm?pid=FANEQEYD3ZTQ2HYZ,Fans,Pedestal,Flipkart
PRODUCT_Orient Electric Table 27 Trendz High Speed Table Fan 400mm(Slate Grey Electric Blue)-Amazon_Orient,PRODUCT_Orient Electric Table 27 Trendz 400mm High Speed Table Fan(Slate Grey)-Amazon_Orient,https://www.amazon.in/dp/B07R1MVVWL,Fans,Table,Amazon
PRODUCT_Orient Electric Table 27 Trendz High Speed Table Fan 400mm(Slate Grey Electric Blue)-Amazon_Orient,PRODUCT_Orient Electric Table 27 Trendz 400mm High Speed Table Fan(Electric Blue)-Amazon_Orient,https://www.amazon.in/dp/B08FS77ZMX,Fans,Table,Amazon
PRODUCT_Orient Electric Tome Plus and Smart BLDC 5 star Ceiling Fan 1200mm (Smoke Brown White Topaz Gold Brown)-Amazon_Orient,PRODUCT_Orient Electric 1200mm I Tome Plus BLDC BEE 5-star rated Ceiling Fan White -Amazon_Orient,https://www.amazon.in/dp/B0B3MZ8XMN,Fans,Ceiling,Amazon
PRODUCT_Orient Electric Tome Plus and Smart BLDC 5 star Ceiling Fan 1200mm (Smoke Brown White Topaz Gold Brown)-Amazon_Orient,PRODUCT_Orient Electric 1200mm I Tome Plus BLDC BEE 5-star rated Ceiling Fan Topaz Gold -Amazon_Orient,https://www.amazon.in/dp/B0B3N2P27V,Fans,Ceiling,Amazon
PRODUCT_Orient Electric Tome Plus and Smart BLDC 5 star Ceiling Fan 1200mm (Smoke Brown White Topaz Gold Brown)-Amazon_Orient,PRODUCT_Orient Electric 1200mm I Tome Plus BLDC BEE 5-star rated Ceiling Fan Brown -Amazon_Orient,https://www.amazon.in/dp/B0B3N2QHRX,Fans,Ceiling,Amazon
PRODUCT_Orient Electric Tome Plus and Smart BLDC 5 star Ceiling Fan 1200mm (Smoke Brown White Topaz Gold Brown)-Amazon_Orient,PRODUCT_Orient Electric 1200 mm I Tome Smart BLDC BEE 5-star rated Ceiling Fan Topaz Gold -Amazon_Orient,https://www.amazon.in/dp/B0B8J3G692,Fans,Ceiling,Amazon
PRODUCT_Orient Electric Tome Plus and Smart BLDC 5 star Ceiling Fan 1200mm (Smoke Brown White Topaz Gold Brown)-Amazon_Orient,PRODUCT_Orient Electric 1200 mm I Tome Smart BLDC BEE 5-star rated Ceiling Fan White -Amazon_Orient,https://www.amazon.in/dp/B0B8J349SJ,Fans,Ceiling,Amazon
PRODUCT_Orient Electric Tome Plus and Smart BLDC 5 star Ceiling Fan 1200mm (Smoke Brown White Topaz Gold Brown)-Amazon_Orient,PRODUCT_Orient Electric 1200 mm I Tome Smart BLDC BEE 5-star rated Ceiling Fan Smoke Brown -Amazon_Orient,https://www.amazon.in/dp/B0B8J7Z42S,Fans,Ceiling,Amazon
PRODUCT_Orient Electric Tome Plus and Smart BLDC 5 star Ceiling Fan 1200mm (Smoke Brown White Topaz Gold Brown)-Amazon_Orient,PRODUCT_Orient Electric 1200 mm I Tome Smart BLDC BEE 5-star rated Ceiling Fan Brown -Amazon_Orient,https://www.amazon.in/dp/B0B8J3WK2F,Fans,Ceiling,Amazon
